Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30.00,Yes,Travel_Frequently,464.00,Research & Development,4.00,3.00,Technical Degree,3.00,Male,40.00,3.00,1.00,Research Scientist,4.00,Single,"2,285.00","3,427.00",9.00,Yes,23.00,4.00,3.00,0.00,3.00,4.00,3.00,1.00,0.00,0.00,0.00
37.00,No,Travel_Rarely,"1,107.00",Research & Development,14.00,3.00,Life Sciences,4.00,Female,95.00,3.00,1.00,Laboratory Technician,1.00,Divorced,"3,034.00","26,914.00",1.00,No,12.00,3.00,3.00,1.00,18.00,2.00,2.00,18.00,7.00,12.00,17.00
40.00,No,Travel_Rarely,759.00,Sales,2.00,2.00,Marketing,4.00,Female,46.00,3.00,2.00,Sales Executive,2.00,Divorced,"5,715.00","22,553.00",7.00,No,12.00,3.00,3.00,2.00,8.00,5.00,3.00,5.00,4.00,1.00,3.00
42.00,No,Travel_Rarely,201.00,Research & Development,1.00,4.00,Life Sciences,2.00,Female,95.00,3.00,1.00,Laboratory Technician,1.00,Divorced,"2,576.00","20,490.00",3.00,No,16.00,3.00,2.00,1.00,8.00,5.00,3.00,5.00,2.00,1.00,2.00
37.00,No,Travel_Rarely,"1,305.00",Research & Development,10.00,4.00,Life Sciences,3.00,Male,49.00,3.00,2.00,Manufacturing Director,2.00,Single,"4,197.00","21,123.00",2.00,Yes,12.00,3.00,4.00,0.00,18.00,2.00,2.00,1.00,0.00,0.00,1.00
43.00,No,Travel_Rarely,982.00,Research & Development,12.00,3.00,Life Sciences,1.00,Male,59.00,2.00,4.00,Research Director,2.00,Divorced,"14,336.00","4,345.00",1.00,No,11.00,3.00,3.00,1.00,25.00,3.00,3.00,25.00,10.00,3.00,9.00
40.00,No,Travel_Rarely,555.00,Research & Development,2.00,3.00,Medical,2.00,Female,78.00,2.00,2.00,Laboratory Technician,3.00,Married,"3,448.00","13,436.00",6.00,No,22.00,4.00,2.00,1.00,20.00,3.00,3.00,1.00,0.00,0.00,0.00
54.00,No,Travel_Rarely,821.00,Research & Development,5.00,2.00,Medical,1.00,Male,86.00,3.00,5.00,Research Director,1.00,Married,"19,406.00","8,509.00",4.00,No,11.00,3.00,3.00,1.00,24.00,4.00,2.00,4.00,2.00,1.00,2.00
34.00,No,Non-Travel,"1,381.00",Sales,4.00,4.00,Marketing,3.00,Female,72.00,3.00,2.00,Sales Executive,3.00,Married,"6,538.00","12,740.00",9.00,No,15.00,3.00,1.00,1.00,6.00,3.00,3.00,3.00,2.00,1.00,2.00
31.00,No,Travel_Rarely,480.00,Research & Development,7.00,2.00,Medical,2.00,Female,31.00,3.00,2.00,Manufacturing Director,1.00,Married,"4,306.00","4,156.00",1.00,No,12.00,3.00,2.00,1.00,13.00,5.00,1.00,13.00,10.00,3.00,12.00
43.00,No,Travel_Frequently,313.00,Research & Development,21.00,3.00,Medical,4.00,Male,61.00,3.00,1.00,Laboratory Technician,4.00,Married,"2,258.00","15,238.00",7.00,No,20.00,4.00,1.00,1.00,8.00,1.00,3.00,3.00,2.00,1.00,2.00
43.00,No,Travel_Rarely,"1,473.00",Research & Development,8.00,4.00,Other,3.00,Female,74.00,3.00,2.00,Healthcare Representative,3.00,Divorced,"4,522.00","2,227.00",4.00,Yes,14.00,3.00,4.00,0.00,8.00,3.00,3.00,5.00,2.00,0.00,2.00
25.00,No,Travel_Rarely,891.00,Sales,4.00,2.00,Life Sciences,2.00,Female,99.00,2.00,2.00,Sales Executive,4.00,Single,"4,487.00","12,090.00",1.00,Yes,11.00,3.00,2.00,0.00,5.00,3.00,3.00,5.00,4.00,1.00,3.00
37.00,No,Non-Travel,"1,063.00",Research & Development,25.00,5.00,Medical,2.00,Female,72.00,3.00,2.00,Research Scientist,3.00,Married,"4,449.00","23,866.00",3.00,Yes,15.00,3.00,1.00,2.00,15.00,2.00,3.00,13.00,11.00,10.00,7.00
31.00,No,Travel_Rarely,329.00,Research & Development,1.00,2.00,Life Sciences,4.00,Male,98.00,2.00,1.00,Laboratory Technician,1.00,Married,"2,218.00","16,193.00",1.00,No,12.00,3.00,3.00,1.00,4.00,3.00,3.00,4.00,2.00,3.00,2.00
39.00,No,Travel_Frequently,"1,218.00",Research & Development,1.00,1.00,Life Sciences,2.00,Male,52.00,3.00,5.00,Manager,3.00,Divorced,"19,197.00","8,213.00",1.00,Yes,14.00,3.00,3.00,1.00,21.00,3.00,3.00,21.00,8.00,1.00,6.00
56.00,No,Travel_Frequently,906.00,Sales,6.00,3.00,Life Sciences,3.00,Female,86.00,4.00,4.00,Sales Executive,1.00,Married,"13,212.00","18,256.00",9.00,No,11.00,3.00,4.00,3.00,36.00,0.00,2.00,7.00,7.00,7.00,7.00
30.00,No,Travel_Rarely,"1,082.00",Sales,12.00,3.00,Technical Degree,2.00,Female,83.00,3.00,2.00,Sales Executive,3.00,Single,"6,577.00","19,558.00",0.00,No,11.00,3.00,2.00,0.00,6.00,6.00,3.00,5.00,4.00,4.00,4.00
41.00,No,Travel_Rarely,645.00,Sales,1.00,3.00,Marketing,2.00,Male,49.00,4.00,3.00,Sales Executive,1.00,Married,"8,392.00","19,566.00",1.00,No,16.00,3.00,3.00,1.00,10.00,2.00,3.00,10.00,7.00,0.00,7.00
28.00,No,Travel_Rarely,"1,300.00",Research & Development,17.00,2.00,Medical,3.00,Male,79.00,3.00,2.00,Laboratory Technician,1.00,Divorced,"4,558.00","13,535.00",1.00,No,12.00,3.00,4.00,1.00,10.00,2.00,3.00,10.00,0.00,1.00,8.00
25.00,Yes,Travel_Rarely,688.00,Research & Development,3.00,3.00,Medical,1.00,Male,91.00,3.00,1.00,Laboratory Technician,1.00,Married,"4,031.00","9,396.00",5.00,No,13.00,3.00,3.00,1.00,6.00,5.00,3.00,2.00,2.00,0.00,2.00
52.00,No,Travel_Rarely,319.00,Research & Development,3.00,3.00,Medical,4.00,Male,39.00,2.00,3.00,Manufacturing Director,3.00,Married,"7,969.00","19,609.00",2.00,Yes,14.00,3.00,3.00,0.00,28.00,4.00,3.00,5.00,4.00,0.00,4.00
45.00,No,Travel_Rarely,192.00,Research & Development,10.00,2.00,Life Sciences,1.00,Male,69.00,3.00,1.00,Research Scientist,4.00,Married,"2,654.00","9,655.00",3.00,No,21.00,4.00,4.00,2.00,8.00,3.00,2.00,2.00,2.00,0.00,2.00
52.00,No,Travel_Rarely,"1,490.00",Research & Development,4.00,2.00,Life Sciences,4.00,Female,30.00,3.00,4.00,Manager,4.00,Married,"16,555.00","10,310.00",2.00,No,13.00,3.00,4.00,0.00,31.00,2.00,1.00,5.00,2.00,1.00,4.00
42.00,No,Travel_Frequently,532.00,Research & Development,29.00,2.00,Life Sciences,1.00,Female,92.00,3.00,2.00,Research Scientist,3.00,Divorced,"4,556.00","12,932.00",2.00,No,11.00,3.00,2.00,1.00,19.00,3.00,3.00,5.00,4.00,0.00,2.00
30.00,No,Travel_Rarely,317.00,Research & Development,2.00,3.00,Life Sciences,3.00,Female,43.00,1.00,2.00,Manufacturing Director,4.00,Single,"6,091.00","24,793.00",2.00,No,20.00,4.00,3.00,0.00,11.00,2.00,3.00,5.00,4.00,0.00,2.00
60.00,No,Travel_Rarely,422.00,Research & Development,7.00,3.00,Life Sciences,1.00,Female,41.00,3.00,5.00,Manager,1.00,Married,"19,566.00","3,854.00",5.00,No,11.00,3.00,4.00,0.00,33.00,5.00,1.00,29.00,8.00,11.00,10.00
46.00,No,Travel_Rarely,"1,485.00",Research & Development,18.00,3.00,Medical,3.00,Female,87.00,3.00,2.00,Manufacturing Director,3.00,Divorced,"4,810.00","26,314.00",2.00,No,14.00,3.00,3.00,1.00,19.00,5.00,2.00,10.00,7.00,0.00,8.00
42.00,No,Travel_Frequently,"1,368.00",Research & Development,28.00,4.00,Technical Degree,4.00,Female,88.00,2.00,2.00,Healthcare Representative,4.00,Married,"4,523.00","4,386.00",0.00,No,11.00,3.00,4.00,3.00,7.00,4.00,4.00,6.00,5.00,0.00,4.00
24.00,Yes,Travel_Rarely,"1,448.00",Sales,1.00,1.00,Technical Degree,1.00,Female,62.00,3.00,1.00,Sales Representative,2.00,Single,"3,202.00","21,972.00",1.00,Yes,16.00,3.00,2.00,0.00,6.00,4.00,3.00,5.00,3.00,1.00,4.00
34.00,Yes,Travel_Frequently,296.00,Sales,6.00,2.00,Marketing,4.00,Female,33.00,1.00,1.00,Sales Representative,3.00,Divorced,"2,351.00","12,253.00",0.00,No,16.00,3.00,4.00,1.00,3.00,3.00,2.00,2.00,2.00,1.00,0.00
38.00,No,Travel_Frequently,"1,490.00",Research & Development,2.00,2.00,Life Sciences,4.00,Male,42.00,3.00,1.00,Laboratory Technician,4.00,Married,"1,702.00","12,106.00",1.00,Yes,23.00,4.00,3.00,1.00,1.00,3.00,3.00,1.00,0.00,0.00,0.00
40.00,No,Travel_Rarely,"1,398.00",Sales,2.00,4.00,Life Sciences,3.00,Female,79.00,3.00,5.00,Manager,3.00,Married,"18,041.00","13,022.00",0.00,No,14.00,3.00,4.00,0.00,21.00,2.00,3.00,20.00,15.00,1.00,12.00
26.00,No,Travel_Rarely,"1,349.00",Research & Development,23.00,3.00,Life Sciences,1.00,Female,90.00,3.00,1.00,Research Scientist,4.00,Divorced,"2,886.00","3,032.00",1.00,No,22.00,4.00,2.00,2.00,3.00,3.00,1.00,3.00,2.00,0.00,2.00
30.00,No,Non-Travel,"1,400.00",Research & Development,3.00,3.00,Life Sciences,3.00,Male,53.00,3.00,1.00,Laboratory Technician,4.00,Married,"2,097.00","16,734.00",4.00,No,15.00,3.00,3.00,1.00,9.00,3.00,1.00,5.00,3.00,1.00,4.00
29.00,No,Travel_Rarely,986.00,Research & Development,3.00,4.00,Medical,2.00,Male,93.00,2.00,3.00,Research Director,3.00,Married,"11,935.00","21,526.00",1.00,No,18.00,3.00,3.00,0.00,10.00,2.00,3.00,10.00,2.00,0.00,7.00
29.00,Yes,Travel_Rarely,408.00,Research & Development,25.00,5.00,Technical Degree,3.00,Female,71.00,2.00,1.00,Research Scientist,2.00,Married,"2,546.00","18,300.00",5.00,No,16.00,3.00,2.00,0.00,6.00,2.00,4.00,2.00,2.00,1.00,1.00
19.00,Yes,Travel_Rarely,489.00,Human Resources,2.00,2.00,Technical Degree,1.00,Male,52.00,2.00,1.00,Human Resources,4.00,Single,"2,564.00","18,437.00",1.00,No,12.00,3.00,3.00,0.00,1.00,3.00,4.00,1.00,0.00,0.00,0.00
30.00,No,Non-Travel,"1,398.00",Sales,22.00,4.00,Other,3.00,Female,69.00,3.00,3.00,Sales Executive,1.00,Married,"8,412.00","2,890.00",0.00,No,11.00,3.00,3.00,0.00,10.00,3.00,3.00,9.00,8.00,7.00,8.00
57.00,No,Travel_Rarely,210.00,Sales,29.00,3.00,Marketing,1.00,Male,56.00,2.00,4.00,Manager,4.00,Divorced,"14,118.00","22,102.00",3.00,No,12.00,3.00,3.00,1.00,32.00,3.00,2.00,1.00,0.00,0.00,0.00
50.00,No,Travel_Rarely,"1,099.00",Research & Development,29.00,4.00,Life Sciences,2.00,Male,88.00,2.00,4.00,Manager,3.00,Married,"17,046.00","9,314.00",0.00,No,15.00,3.00,2.00,1.00,28.00,2.00,3.00,27.00,10.00,15.00,7.00
30.00,No,Non-Travel,"1,116.00",Research & Development,2.00,3.00,Medical,3.00,Female,49.00,3.00,1.00,Laboratory Technician,4.00,Single,"2,564.00","7,181.00",0.00,No,14.00,3.00,3.00,0.00,12.00,2.00,2.00,11.00,7.00,6.00,7.00
60.00,No,Travel_Frequently,"1,499.00",Sales,28.00,3.00,Marketing,3.00,Female,80.00,2.00,3.00,Sales Executive,1.00,Married,"10,266.00","2,845.00",4.00,No,19.00,3.00,4.00,0.00,22.00,5.00,4.00,18.00,13.00,13.00,11.00
47.00,No,Travel_Rarely,983.00,Research & Development,2.00,2.00,Medical,1.00,Female,65.00,3.00,2.00,Manufacturing Director,4.00,Divorced,"5,070.00","7,389.00",5.00,No,13.00,3.00,3.00,3.00,20.00,2.00,3.00,5.00,0.00,0.00,4.00
46.00,No,Travel_Rarely,"1,009.00",Research & Development,2.00,3.00,Life Sciences,1.00,Male,51.00,3.00,4.00,Research Director,3.00,Married,"17,861.00","2,288.00",6.00,No,13.00,3.00,3.00,0.00,26.00,2.00,1.00,3.00,2.00,0.00,1.00
35.00,No,Travel_Rarely,144.00,Research & Development,22.00,3.00,Life Sciences,4.00,Male,46.00,1.00,1.00,Laboratory Technician,3.00,Single,"4,230.00","19,225.00",0.00,No,15.00,3.00,3.00,0.00,6.00,2.00,3.00,5.00,4.00,4.00,3.00
54.00,No,Travel_Rarely,548.00,Research & Development,8.00,4.00,Life Sciences,3.00,Female,42.00,3.00,2.00,Laboratory Technician,3.00,Single,"3,780.00","23,428.00",7.00,No,11.00,3.00,3.00,0.00,19.00,3.00,3.00,1.00,0.00,0.00,0.00
34.00,No,Travel_Rarely,"1,303.00",Research & Development,2.00,4.00,Life Sciences,4.00,Male,62.00,2.00,1.00,Research Scientist,3.00,Divorced,"2,768.00","8,416.00",3.00,No,12.00,3.00,3.00,1.00,14.00,3.00,3.00,7.00,3.00,5.00,7.00
46.00,No,Travel_Rarely,"1,125.00",Sales,10.00,3.00,Marketing,3.00,Female,94.00,2.00,3.00,Sales Executive,4.00,Married,"9,071.00","11,563.00",2.00,Yes,19.00,3.00,3.00,1.00,15.00,3.00,3.00,3.00,2.00,1.00,2.00
31.00,No,Travel_Rarely,"1,274.00",Research & Development,9.00,1.00,Life Sciences,3.00,Male,33.00,3.00,3.00,Manufacturing Director,2.00,Divorced,"10,648.00","14,394.00",1.00,No,25.00,4.00,4.00,1.00,13.00,6.00,4.00,13.00,8.00,0.00,8.00
33.00,Yes,Travel_Rarely,"1,277.00",Research & Development,15.00,1.00,Medical,2.00,Male,56.00,3.00,3.00,Manager,3.00,Married,"13,610.00","24,619.00",7.00,Yes,12.00,3.00,4.00,0.00,15.00,2.00,4.00,7.00,6.00,7.00,7.00
33.00,Yes,Travel_Rarely,587.00,Research & Development,10.00,1.00,Medical,1.00,Male,38.00,1.00,1.00,Laboratory Technician,4.00,Divorced,"3,408.00","6,705.00",7.00,No,13.00,3.00,1.00,3.00,8.00,2.00,3.00,4.00,3.00,1.00,3.00
30.00,No,Travel_Rarely,413.00,Sales,7.00,1.00,Marketing,4.00,Male,57.00,3.00,1.00,Sales Representative,2.00,Single,"2,983.00","18,398.00",0.00,No,14.00,3.00,1.00,0.00,4.00,3.00,3.00,3.00,2.00,1.00,2.00
35.00,No,Travel_Rarely,"1,276.00",Research & Development,16.00,3.00,Life Sciences,4.00,Male,72.00,3.00,3.00,Healthcare Representative,3.00,Married,"7,632.00","14,295.00",4.00,Yes,12.00,3.00,3.00,0.00,10.00,2.00,3.00,8.00,7.00,0.00,0.00
31.00,Yes,Travel_Frequently,534.00,Research & Development,20.00,3.00,Life Sciences,1.00,Male,66.00,3.00,3.00,Healthcare Representative,3.00,Married,"9,824.00","22,908.00",3.00,No,12.00,3.00,1.00,0.00,12.00,2.00,3.00,1.00,0.00,0.00,0.00
34.00,Yes,Travel_Frequently,988.00,Human Resources,23.00,3.00,Human Resources,2.00,Female,43.00,3.00,3.00,Human Resources,1.00,Divorced,"9,950.00","11,533.00",9.00,Yes,15.00,3.00,3.00,3.00,11.00,2.00,3.00,3.00,2.00,0.00,2.00
42.00,No,Travel_Frequently,"1,474.00",Research & Development,5.00,2.00,Other,2.00,Male,97.00,3.00,1.00,Laboratory Technician,3.00,Married,"2,093.00","9,260.00",4.00,No,17.00,3.00,4.00,1.00,8.00,4.00,3.00,2.00,2.00,2.00,0.00
36.00,No,Non-Travel,635.00,Sales,10.00,4.00,Medical,2.00,Male,32.00,3.00,3.00,Sales Executive,4.00,Single,"9,980.00","15,318.00",1.00,No,14.00,3.00,4.00,0.00,10.00,3.00,2.00,10.00,3.00,9.00,7.00
22.00,Yes,Travel_Frequently,"1,368.00",Research & Development,4.00,1.00,Technical Degree,3.00,Male,99.00,2.00,1.00,Laboratory Technician,3.00,Single,"3,894.00","9,129.00",5.00,No,16.00,3.00,3.00,0.00,4.00,3.00,3.00,2.00,2.00,1.00,2.00
48.00,No,Travel_Rarely,163.00,Sales,2.00,5.00,Marketing,2.00,Female,37.00,3.00,2.00,Sales Executive,4.00,Married,"4,051.00","19,658.00",2.00,No,14.00,3.00,1.00,1.00,14.00,2.00,3.00,9.00,7.00,6.00,7.00
55.00,No,Travel_Rarely,"1,117.00",Sales,18.00,5.00,Life Sciences,1.00,Female,83.00,3.00,4.00,Manager,2.00,Single,"16,835.00","9,873.00",3.00,No,23.00,4.00,4.00,0.00,37.00,2.00,3.00,10.00,9.00,7.00,7.00
41.00,No,Non-Travel,267.00,Sales,10.00,2.00,Life Sciences,4.00,Male,56.00,3.00,2.00,Sales Executive,4.00,Single,"6,230.00","13,430.00",7.00,No,14.00,3.00,4.00,0.00,16.00,3.00,3.00,14.00,3.00,1.00,10.00
35.00,No,Travel_Rarely,619.00,Sales,1.00,3.00,Marketing,2.00,Male,85.00,3.00,2.00,Sales Executive,3.00,Married,"4,717.00","18,659.00",9.00,No,11.00,3.00,3.00,0.00,15.00,2.00,3.00,11.00,9.00,6.00,9.00
40.00,No,Travel_Rarely,302.00,Research & Development,6.00,3.00,Life Sciences,2.00,Female,75.00,3.00,4.00,Manufacturing Director,3.00,Single,"13,237.00","20,364.00",7.00,No,15.00,3.00,3.00,0.00,22.00,3.00,3.00,20.00,6.00,5.00,13.00
39.00,No,Travel_Frequently,443.00,Research & Development,8.00,1.00,Life Sciences,3.00,Female,48.00,3.00,1.00,Laboratory Technician,3.00,Married,"3,755.00","17,872.00",1.00,No,11.00,3.00,1.00,1.00,8.00,3.00,3.00,8.00,3.00,0.00,7.00
31.00,No,Travel_Rarely,828.00,Sales,2.00,1.00,Life Sciences,2.00,Male,77.00,3.00,2.00,Sales Executive,4.00,Single,"6,582.00","8,346.00",4.00,Yes,13.00,3.00,3.00,0.00,10.00,2.00,4.00,6.00,5.00,0.00,5.00
42.00,No,Travel_Rarely,319.00,Research & Development,24.00,3.00,Medical,4.00,Male,56.00,3.00,3.00,Manufacturing Director,1.00,Married,"7,406.00","6,950.00",1.00,Yes,21.00,4.00,4.00,1.00,10.00,5.00,2.00,10.00,9.00,5.00,8.00
45.00,No,Travel_Rarely,561.00,Sales,2.00,3.00,Other,4.00,Male,61.00,3.00,2.00,Sales Executive,2.00,Married,"4,805.00","16,177.00",0.00,No,19.00,3.00,2.00,1.00,9.00,3.00,4.00,8.00,7.00,3.00,7.00
26.00,Yes,Travel_Frequently,426.00,Human Resources,17.00,4.00,Life Sciences,2.00,Female,58.00,3.00,1.00,Human Resources,3.00,Divorced,"2,741.00","22,808.00",0.00,Yes,11.00,3.00,2.00,1.00,8.00,2.00,2.00,7.00,7.00,1.00,0.00
29.00,No,Travel_Rarely,232.00,Research & Development,19.00,3.00,Technical Degree,4.00,Male,34.00,3.00,2.00,Manufacturing Director,4.00,Divorced,"4,262.00","22,645.00",4.00,No,12.00,3.00,2.00,2.00,8.00,2.00,4.00,3.00,2.00,1.00,2.00
33.00,No,Travel_Rarely,922.00,Research & Development,1.00,5.00,Medical,1.00,Female,95.00,4.00,4.00,Research Director,3.00,Divorced,"16,184.00","22,578.00",4.00,No,19.00,3.00,3.00,1.00,10.00,2.00,3.00,6.00,1.00,0.00,5.00
31.00,No,Travel_Rarely,688.00,Sales,7.00,3.00,Life Sciences,3.00,Male,44.00,2.00,3.00,Manager,4.00,Divorced,"11,557.00","25,291.00",9.00,No,21.00,4.00,3.00,1.00,10.00,3.00,2.00,5.00,4.00,0.00,1.00
18.00,Yes,Travel_Frequently,"1,306.00",Sales,5.00,3.00,Marketing,2.00,Male,69.00,3.00,1.00,Sales Representative,2.00,Single,"1,878.00","8,059.00",1.00,Yes,14.00,3.00,4.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00
40.00,No,Non-Travel,"1,094.00",Sales,28.00,3.00,Other,3.00,Male,58.00,1.00,3.00,Sales Executive,1.00,Divorced,"10,932.00","11,373.00",3.00,No,15.00,3.00,3.00,1.00,20.00,2.00,3.00,1.00,0.00,0.00,1.00
41.00,No,Non-Travel,509.00,Research & Development,2.00,4.00,Other,1.00,Female,62.00,2.00,2.00,Healthcare Representative,3.00,Single,"6,811.00","2,112.00",2.00,Yes,17.00,3.00,1.00,0.00,10.00,3.00,3.00,8.00,7.00,0.00,7.00
26.00,No,Travel_Rarely,775.00,Sales,29.00,2.00,Medical,1.00,Male,45.00,3.00,2.00,Sales Executive,3.00,Divorced,"4,306.00","4,267.00",5.00,No,12.00,3.00,1.00,2.00,8.00,5.00,3.00,0.00,0.00,0.00,0.00
35.00,No,Travel_Rarely,195.00,Sales,1.00,3.00,Medical,1.00,Female,80.00,3.00,2.00,Sales Executive,3.00,Single,"4,859.00","6,698.00",1.00,No,16.00,3.00,4.00,0.00,5.00,3.00,3.00,5.00,4.00,0.00,3.00
34.00,No,Travel_Rarely,258.00,Sales,21.00,4.00,Life Sciences,4.00,Male,74.00,4.00,2.00,Sales Executive,4.00,Single,"5,337.00","19,921.00",1.00,No,12.00,3.00,4.00,0.00,10.00,3.00,3.00,10.00,7.00,5.00,7.00
26.00,Yes,Travel_Rarely,471.00,Research & Development,24.00,3.00,Technical Degree,3.00,Male,66.00,1.00,1.00,Laboratory Technician,4.00,Single,"2,340.00","23,213.00",1.00,Yes,18.00,3.00,2.00,0.00,1.00,3.00,1.00,1.00,0.00,0.00,0.00
37.00,No,Travel_Rarely,799.00,Research & Development,1.00,3.00,Technical Degree,2.00,Female,59.00,3.00,3.00,Manufacturing Director,4.00,Single,"7,491.00","23,848.00",4.00,No,17.00,3.00,4.00,0.00,12.00,3.00,4.00,6.00,5.00,1.00,2.00
46.00,No,Travel_Frequently,"1,034.00",Research & Development,18.00,1.00,Medical,1.00,Female,86.00,3.00,3.00,Healthcare Representative,3.00,Married,"10,527.00","8,984.00",5.00,No,11.00,3.00,4.00,0.00,28.00,3.00,2.00,2.00,2.00,1.00,2.00
41.00,No,Travel_Rarely,"1,276.00",Sales,2.00,5.00,Life Sciences,2.00,Female,91.00,3.00,4.00,Manager,1.00,Married,"16,595.00","5,626.00",7.00,No,16.00,3.00,2.00,1.00,22.00,2.00,3.00,18.00,16.00,11.00,8.00
37.00,No,Non-Travel,142.00,Sales,9.00,4.00,Medical,1.00,Male,69.00,3.00,3.00,Sales Executive,2.00,Divorced,"8,834.00","24,666.00",1.00,No,13.00,3.00,4.00,1.00,9.00,6.00,3.00,9.00,5.00,7.00,7.00
52.00,No,Travel_Rarely,956.00,Research & Development,6.00,2.00,Technical Degree,4.00,Male,78.00,3.00,2.00,Research Scientist,1.00,Divorced,"5,577.00","22,087.00",3.00,Yes,12.00,3.00,2.00,2.00,18.00,3.00,3.00,10.00,9.00,6.00,9.00
32.00,Yes,Non-Travel,"1,474.00",Sales,11.00,4.00,Other,4.00,Male,60.00,4.00,2.00,Sales Executive,3.00,Married,"4,707.00","23,914.00",8.00,No,12.00,3.00,4.00,0.00,6.00,2.00,3.00,4.00,2.00,1.00,2.00
24.00,No,Travel_Frequently,535.00,Sales,24.00,3.00,Medical,4.00,Male,38.00,3.00,1.00,Sales Representative,4.00,Married,"2,400.00","5,530.00",0.00,No,13.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00
38.00,No,Travel_Rarely,"1,495.00",Research & Development,10.00,3.00,Medical,3.00,Female,76.00,3.00,2.00,Healthcare Representative,3.00,Married,"9,824.00","22,174.00",3.00,No,19.00,3.00,3.00,1.00,18.00,4.00,3.00,1.00,0.00,0.00,0.00
37.00,No,Travel_Rarely,446.00,Research & Development,1.00,4.00,Life Sciences,2.00,Female,65.00,3.00,2.00,Manufacturing Director,2.00,Married,"6,447.00","15,701.00",6.00,No,12.00,3.00,2.00,1.00,8.00,2.00,2.00,6.00,5.00,4.00,3.00
49.00,No,Travel_Rarely,"1,245.00",Research & Development,18.00,4.00,Life Sciences,4.00,Male,58.00,2.00,5.00,Research Director,3.00,Divorced,"19,502.00","2,125.00",1.00,Yes,17.00,3.00,3.00,1.00,31.00,5.00,3.00,31.00,9.00,0.00,9.00
24.00,No,Travel_Rarely,691.00,Research & Development,23.00,3.00,Medical,2.00,Male,89.00,4.00,1.00,Research Scientist,4.00,Married,"2,725.00","21,630.00",1.00,Yes,11.00,3.00,2.00,2.00,6.00,3.00,3.00,6.00,5.00,1.00,4.00
26.00,No,Travel_Rarely,703.00,Sales,28.00,2.00,Marketing,1.00,Male,66.00,3.00,2.00,Sales Executive,2.00,Married,"6,272.00","7,428.00",1.00,No,20.00,4.00,4.00,2.00,6.00,5.00,4.00,5.00,3.00,1.00,4.00
24.00,No,Travel_Rarely,823.00,Research & Development,17.00,2.00,Other,4.00,Male,94.00,2.00,1.00,Laboratory Technician,2.00,Married,"2,127.00","9,100.00",1.00,No,21.00,4.00,4.00,1.00,1.00,2.00,3.00,1.00,0.00,0.00,0.00
50.00,No,Travel_Frequently,"1,246.00",Human Resources,3.00,3.00,Medical,1.00,Male,99.00,3.00,5.00,Manager,2.00,Married,"18,200.00","7,999.00",1.00,No,11.00,3.00,3.00,1.00,32.00,2.00,3.00,32.00,5.00,10.00,7.00
25.00,No,Travel_Rarely,622.00,Sales,13.00,1.00,Medical,2.00,Male,40.00,3.00,1.00,Sales Representative,3.00,Married,"2,096.00","26,376.00",1.00,No,11.00,3.00,3.00,0.00,7.00,1.00,3.00,7.00,4.00,0.00,6.00
24.00,Yes,Travel_Frequently,"1,287.00",Research & Development,7.00,3.00,Life Sciences,1.00,Female,55.00,3.00,1.00,Laboratory Technician,3.00,Married,"2,886.00","14,168.00",1.00,Yes,16.00,3.00,4.00,1.00,6.00,4.00,3.00,6.00,3.00,1.00,2.00
30.00,Yes,Travel_Frequently,448.00,Sales,12.00,4.00,Life Sciences,2.00,Male,74.00,2.00,1.00,Sales Representative,1.00,Married,"2,033.00","14,470.00",1.00,No,18.00,3.00,3.00,1.00,1.00,2.00,4.00,1.00,0.00,0.00,0.00
34.00,No,Travel_Rarely,254.00,Research & Development,1.00,2.00,Life Sciences,2.00,Male,83.00,2.00,1.00,Research Scientist,4.00,Married,"3,622.00","22,794.00",1.00,Yes,13.00,3.00,4.00,1.00,6.00,3.00,3.00,6.00,5.00,1.00,3.00
31.00,Yes,Travel_Rarely,"1,365.00",Sales,13.00,4.00,Medical,2.00,Male,46.00,3.00,2.00,Sales Executive,1.00,Divorced,"4,233.00","11,512.00",2.00,No,17.00,3.00,3.00,0.00,9.00,2.00,1.00,3.00,1.00,1.00,2.00
35.00,No,Travel_Rarely,538.00,Research & Development,25.00,2.00,Other,1.00,Male,54.00,2.00,2.00,Laboratory Technician,4.00,Single,"3,681.00","14,004.00",4.00,No,14.00,3.00,4.00,0.00,9.00,3.00,3.00,3.00,2.00,0.00,2.00
31.00,No,Travel_Rarely,525.00,Sales,6.00,4.00,Medical,1.00,Male,66.00,4.00,2.00,Sales Executive,4.00,Divorced,"5,460.00","6,219.00",4.00,No,22.00,4.00,4.00,2.00,13.00,4.00,4.00,7.00,7.00,5.00,7.00
